text,label
"The router works like a charm, I'm extremely pleased with it.",2
"The quality of this laptop is poor, not worth the price at all.",0
"The keyboard made everything so much easier, I would definitely recommend it.",2
"The phone is exactly what I hoped for, it works perfectly every time.",2
"The headphones was a complete letdown, not worth the price at all.",0
"I'm impressed by the bicycle, couldn't be happier with the result.",2
"This course platform works fine for basic needs, no surprises here.",1
"The router is fine, nothing special about it.",1
"This subscription is awful, support ignored me completely.",0
"This umbrella is amazing, totally worth every penny.",2
"This jacket does the job, nothing special about it.",1
"This blender is amazing, I would definitely recommend it.",2
"This subscription is fantastic, absolutely fantastic experience.",2
"The phone works as expected, average performance overall.",1
"The monitor is awful, not worth the price at all.",0
"I'm very disappointed with the car, and a complete waste of money.",0
"I have mixed feelings about the bicycle, it's just average.",1
"This game is okay, standard packaging and delivery.",1
"The vacuum cleaner performs better than I imagined, best purchase I've made this year.",2
"I regret ever buying this tool, very unsatisfied overall.",0
"I regret ever buying the hotel, I regret this purchase.",0
"This book is awful, not worth the price at all.",0
"The service works fine for basic needs, standard packaging and delivery.",1
"The monitor is fantastic, totally worth every penny.",2
"The delivery is fine, no surprises here.",1
"The keyboard does the job, no complaints or praise really.",1
"The quality of the monitor is superb, absolutely fantastic experience.",2
"I have mixed feelings about the speaker, nothing special about it.",1
"The package is useless, I regret this purchase.",0
"This jacket is useless, and a complete waste of money.",0
"This mattress arrived as ordered, it's just average.",1
"This backpack was late and broken, very upsetting experience.",0
"The customer support does the job, average performance overall.",1
"This umbrella performs better than I imagined, I'm extremely pleased with it.",2
"This charger is low quality, very unsatisfied overall.",0
"This laptop is similar to other options, no surprises here.",1
"I received the car on time, no complaints or praise really.",1
"This online store performs adequately, no complaints or praise really.",1
"This mattress is fine, standard packaging and delivery.",1
"The headphones was really great, absolutely fantastic experience.",2
"This course is an average option, nothing special about it.",1
"The vacuum cleaner was a complete letdown, total failure, do not buy.",0
"The restaurant exceeded my expectations, absolutely fantastic experience.",2
"This subscription has excellent quality, it works perfectly every time.",2
"This subscription has excellent quality, I would definitely recommend it.",2
"The car didn't work at all, very upsetting experience.",0
"I received the vacuum cleaner on time, for what it offers.",1
"The package performs better than I imagined, I'm extremely pleased with it.",2
"The vacuum cleaner is useless, I regret this purchase.",0
"This umbrella is okay, no surprises here.",1
"This charger was a complete letdown, very unsatisfied overall.",0
"The package is useless, completely unusable.",0
"This tablet was terrible, completely unusable.",0
"This laptop is low quality, total failure, do not buy.",0
"I'm so happy with the camera, couldn't be happier with the result.",2
"This movie has excellent quality, it's outstanding overall.",2
"I had a horrible experience with this movie, completely unusable.",0
"The watch performs adequately, no surprises here.",1
"This umbrella is low quality, total failure, do not buy.",0
"This backpack is fantastic, it works perfectly every time.",2
"This mattress performs better than I imagined, I'm extremely pleased with it.",2
"This tool is exactly what I hoped for, totally worth every penny.",2
"The headphones arrived as ordered, average performance overall.",1
"This book works like a charm, couldn't be happier with the result.",2
"The quality of this umbrella is superb, it works perfectly every time.",2
"This product is fantastic, and I'm very satisfied.",2
"I'm so happy with the package, couldn't be happier with the result.",2
"This online store stopped working after one day, worst purchase I've made.",0
"The package works as expected, average performance overall.",1
"This course platform has excellent quality, I'm extremely pleased with it.",2
"The delivery is low quality, worst purchase I've made.",0
"This chair is neither impressive nor bad, no surprises here.",1
"The monitor stopped working after one day, not worth the price at all.",0
"This subscription arrived as ordered, standard packaging and delivery.",1
"I'm very disappointed with the bicycle, nothing works properly.",0
"The camera was late and broken, support ignored me completely.",0
"I regret ever buying this mattress, I regret this purchase.",0
"The keyboard works like a charm, exactly what I needed.",2
"The price of this movie is reasonable, standard packaging and delivery.",1
"This movie didn't work at all, very upsetting experience.",0
"This app was a complete letdown, support ignored me completely.",0
"This mattress works fine for basic needs, no complaints or praise really.",1
"This online store stopped working after one day, total failure, do not buy.",0
"The watch stopped working after one day, very unsatisfied overall.",0
"The printer performs adequately, meets basic requirements.",1
"This online store arrived damaged, I regret this purchase.",0
"I'm frustrated with this laptop, nothing works properly.",0
"This app is neither impressive nor bad, no surprises here.",1
"The vacuum cleaner arrived quickly and works flawlessly, exactly what I needed.",2
"The quality of the speaker is superb, couldn't be happier with the result.",2
"I regret ever buying this umbrella, total failure, do not buy.",0
"The package works fine for basic needs, meets basic requirements.",1
"This course platform arrived damaged, I regret this purchase.",0
"This subscription is an average option, nothing special about it.",1
"This chair is useless, very upsetting experience.",0
"This blender performs better than I imagined, absolutely fantastic experience.",2
"I had a horrible experience with this online store, total failure, do not buy.",0
"The package is fine, nothing special about it.",1
"This book performs adequately, nothing special about it.",1
"The package has excellent quality, exactly what I needed.",2
"The camera is useless, nothing works properly.",0
"This subscription is awful, worst purchase I've made.",0
"The quality of this app is superb, totally worth every penny.",2
"This game works as expected, standard packaging and delivery.",1
"I received the printer on time, meets basic requirements.",1
"I received this movie on time, no surprises here.",1
"The printer has excellent quality, absolutely fantastic experience.",2
"This book exceeded my expectations, exactly what I needed.",2
"The service is fine, it's fine for everyday use.",1
"The quality of this umbrella is superb, totally worth every penny.",2
"The watch matched the description, it's just average.",1
"The quality of this book is superb, totally worth every penny.",2
"The price of this blender is reasonable, average performance overall.",1
"This course is similar to other options, nothing more nothing less.",1
"This software stopped working after one day, very unsatisfied overall.",0
"The price of this course is reasonable, it's just average.",1
"This product performs adequately, nothing special about it.",1
"This chair works like a charm, totally worth every penny.",2
"The speaker was a complete letdown, and a complete waste of money.",0
"I'm frustrated with this tablet, I regret this purchase.",0
"I'm impressed by the speaker, best purchase I've made this year.",2
"I'm impressed by this subscription, absolutely fantastic experience.",2
"The service is an average option, nothing special about it.",1
"This tool is fantastic, I'm extremely pleased with it.",2
"The phone was terrible, not worth the price at all.",0
"The bicycle is fantastic, and I'm very satisfied.",2
"The quality of the vacuum cleaner is poor, support ignored me completely.",0
"This game was late and broken, nothing works properly.",0
"I regret ever buying the vacuum cleaner, and a complete waste of money.",0
"The camera is an average option, for what it offers.",1
"This product stopped working after one day, I regret this purchase.",0
"This course platform is low quality, support ignored me completely.",0
"This course platform exceeded my expectations, I would definitely recommend it.",2
"This software was a complete letdown, not worth the price at all.",0
"This chair performs adequately, standard packaging and delivery.",1
"The watch performs better than I imagined, totally worth every penny.",2
"This backpack stopped working after one day, completely unusable.",0
"The package was late and broken, I regret this purchase.",0
"I love the restaurant, I would definitely recommend it.",2
"The quality of this blender is poor, completely unusable.",0
"This umbrella is an average option, nothing more nothing less.",1
"The service is a decent choice, nothing more nothing less.",1
"I'm so happy with this laptop, couldn't be happier with the result.",2
"I'm very disappointed with this course, and a complete waste of money.",0
"The vacuum cleaner exceeded my expectations, I would definitely recommend it.",2
"I love the restaurant, I'm extremely pleased with it.",2
"This mattress exceeded my expectations, exactly what I needed.",2
"The printer is a decent choice, no surprises here.",1
"The keyboard arrived quickly and works flawlessly, I would definitely recommend it.",2
"The quality of the customer support is poor, worst purchase I've made.",0
"The headphones arrived quickly and works flawlessly, it's outstanding overall.",2
"I'm so happy with the monitor, couldn't be happier with the result.",2
"The package is useless, not worth the price at all.",0
"The phone was terrible, I regret this purchase.",0
"The car works fine for basic needs, for what it offers.",1
"This tool is amazing, absolutely fantastic experience.",2
"This umbrella is fine, for what it offers.",1
"I can't stop recommending the speaker, couldn't be happier with the result.",2
"The headphones is awful, very unsatisfied overall.",0
"The bicycle exceeded my expectations, absolutely fantastic experience.",2
"This course platform arrived quickly and works flawlessly, exactly what I needed.",2
"This blender is useless, worst purchase I've made.",0
"The delivery is fantastic, couldn't be happier with the result.",2
"The restaurant is an average option, nothing special about it.",1
"The gym membership is useless, support ignored me completely.",0
"The price of the monitor is reasonable, no surprises here.",1
"The service is a decent choice, meets basic requirements.",1
"This movie stopped working after one day, very upsetting experience.",0
"The speaker is awful, and a complete waste of money.",0
"The watch failed to meet even basic expectations, not worth the price at all.",0
"The shoes has excellent quality, it works perfectly every time.",2
"I can't stop recommending this course platform, couldn't be happier with the result.",2
"This app made everything so much easier, and I'm very satisfied.",2
"The quality of this backpack is poor, I regret this purchase.",0
"This product is an average option, it's fine for everyday use.",1
"This chair is amazing, exactly what I needed.",2
"The gym membership performs adequately, it's just average.",1
"I had a horrible experience with this tool, worst purchase I've made.",0
"The package matched the description, it's just average.",1
"I love this laptop, I'm extremely pleased with it.",2
"I'm frustrated with the bicycle, completely unusable.",0
"This movie is neither impressive nor bad, standard packaging and delivery.",1
"This product works fine for basic needs, it's fine for everyday use.",1
"The monitor arrived damaged, nothing works properly.",0
"The shoes arrived quickly and works flawlessly, absolutely fantastic experience.",2
"The phone works as expected, for what it offers.",1
"I'm very disappointed with this backpack, total failure, do not buy.",0
"This book failed to meet even basic expectations, not worth the price at all.",0
"This blender failed to meet even basic expectations, not worth the price at all.",0
"The gym membership is similar to other options, it's just average.",1
"I love the bicycle, it works perfectly every time.",2
"This app is okay, nothing special about it.",1
"I'm very disappointed with the package, nothing works properly.",0
"The gym membership works fine for basic needs, no surprises here.",1
"This charger failed to meet even basic expectations, not worth the price at all.",0
"The vacuum cleaner is similar to other options, meets basic requirements.",1
"The camera is amazing, absolutely fantastic experience.",2
"This book was terrible, worst purchase I've made.",0
"This chair is amazing, couldn't be happier with the result.",2
"This mattress stopped working after one day, completely unusable.",0
"This tool performs adequately, nothing more nothing less.",1
"This chair is low quality, very upsetting experience.",0
"This blender is fine, it's just average.",1
"I'm frustrated with the package, and a complete waste of money.",0
"This product performs better than I imagined, and I'm very satisfied.",2
"The router is neither impressive nor bad, no surprises here.",1
"This blender failed to meet even basic expectations, total failure, do not buy.",0
"This charger is awful, worst purchase I've made.",0
"This software made everything so much easier, couldn't be happier with the result.",2
"I'm impressed by this charger, I'm extremely pleased with it.",2
"The phone does the job, it's fine for everyday use.",1
"This course is amazing, couldn't be happier with the result.",2
"This book is awful, total failure, do not buy.",0
"The monitor works like a charm, it works perfectly every time.",2
"This mattress arrived quickly and works flawlessly, I'm extremely pleased with it.",2
"I regret ever buying this online store, worst purchase I've made.",0
"The price of this movie is reasonable, nothing more nothing less.",1
"The router performs better than I imagined, totally worth every penny.",2
"This product made everything so much easier, totally worth every penny.",2
"This tool stopped working after one day, total failure, do not buy.",0
"This software performs better than I imagined, totally worth every penny.",2
"I'm so happy with this movie, I'm extremely pleased with it.",2
"The delivery is neither impressive nor bad, no surprises here.",1
"The camera is okay, for what it offers.",1
"I regret ever buying this tool, completely unusable.",0
"The keyboard arrived quickly and works flawlessly, it's outstanding overall.",2
"This game is useless, nothing works properly.",0
"This chair is fine, standard packaging and delivery.",1
"This laptop arrived damaged, total failure, do not buy.",0
"The camera does the job, no complaints or praise really.",1
"I love this book, and I'm very satisfied.",2
"I'm so happy with the monitor, totally worth every penny.",2
"This subscription is awful, very unsatisfied overall.",0
"This software is exactly what I hoped for, exactly what I needed.",2
"The gym membership was late and broken, total failure, do not buy.",0
"I'm very disappointed with this tablet, very upsetting experience.",0
"This tablet is useless, I regret this purchase.",0
"The car made everything so much easier, couldn't be happier with the result.",2
"The phone was terrible, completely unusable.",0
"This tool is an average option, it's just average.",1
"This online store made everything so much easier, exactly what I needed.",2
"This charger arrived as ordered, nothing more nothing less.",1
"This jacket is low quality, nothing works properly.",0
"The hotel works as expected, no surprises here.",1
"I had a horrible experience with this tablet, very unsatisfied overall.",0
"This subscription was a complete letdown, not worth the price at all.",0
"The headphones is an average option, it's just average.",1
"The phone was really great, best purchase I've made this year.",2
"This product matched the description, it's just average.",1
"The watch exceeded my expectations, it's outstanding overall.",2
"This umbrella does the job, meets basic requirements.",1
"I'm impressed by the car, I would definitely recommend it.",2
"This laptop works as expected, for what it offers.",1
"I can't stop recommending the gym membership, best purchase I've made this year.",2
"The gym membership is awful, not worth the price at all.",0
"I received this charger on time, nothing more nothing less.",1
"This laptop works as expected, standard packaging and delivery.",1
"The restaurant arrived damaged, very unsatisfied overall.",0
"The camera performs better than I imagined, totally worth every penny.",2
"The printer is low quality, worst purchase I've made.",0
"This jacket works fine for basic needs, average performance overall.",1
"The delivery is okay, nothing more nothing less.",1
"This movie does the job, it's just average.",1
"I received this product on time, for what it offers.",1
"I had a horrible experience with this laptop, I regret this purchase.",0
"This software works as expected, average performance overall.",1
"I received the printer on time, it's fine for everyday use.",1
"This movie is neither impressive nor bad, no surprises here.",1
"The delivery is useless, very upsetting experience.",0
"The keyboard works fine for basic needs, nothing special about it.",1
"This mattress matched the description, no surprises here.",1
"This backpack is neither impressive nor bad, average performance overall.",1
"The gym membership is similar to other options, standard packaging and delivery.",1
"The router failed to meet even basic expectations, completely unusable.",0
"I regret ever buying this book, I regret this purchase.",0
"The price of the shoes is reasonable, average performance overall.",1
"This course platform does the job, meets basic requirements.",1
"I'm very disappointed with the customer support, support ignored me completely.",0
"The speaker is awful, very unsatisfied overall.",0
"I'm very disappointed with this movie, very unsatisfied overall.",0
"This course is useless, worst purchase I've made.",0
"I love the watch, exactly what I needed.",2
"This product arrived quickly and works flawlessly, totally worth every penny.",2
"The quality of this umbrella is superb, I would definitely recommend it.",2
"I love this charger, it works perfectly every time.",2
"I regret ever buying this movie, very unsatisfied overall.",0
"The quality of this software is poor, very upsetting experience.",0
"This mattress is neither impressive nor bad, no complaints or praise really.",1
"The quality of the bicycle is superb, exactly what I needed.",2
"I'm very disappointed with this charger, very upsetting experience.",0
"I can't stop recommending this subscription, totally worth every penny.",2
"I received the customer support on time, it's just average.",1
"The router made everything so much easier, couldn't be happier with the result.",2
"The hotel has excellent quality, and I'm very satisfied.",2
"The headphones was terrible, very upsetting experience.",0
"I'm frustrated with this movie, total failure, do not buy.",0
"This laptop is exactly what I hoped for, and I'm very satisfied.",2
"The keyboard was really great, couldn't be happier with the result.",2
"The printer is an average option, it's fine for everyday use.",1
"The router is okay, meets basic requirements.",1
"The service is amazing, it's outstanding overall.",2
"The monitor is useless, worst purchase I've made.",0
"I had a horrible experience with the vacuum cleaner, support ignored me completely.",0
"This umbrella does the job, standard packaging and delivery.",1
"This book is fantastic, best purchase I've made this year.",2
"This product has excellent quality, absolutely fantastic experience.",2
"The monitor is awful, total failure, do not buy.",0
"The headphones performs better than I imagined, couldn't be happier with the result.",2
"I regret ever buying the vacuum cleaner, very unsatisfied overall.",0
"This mattress is low quality, completely unusable.",0
"This movie was terrible, nothing works properly.",0
"The price of the car is reasonable, meets basic requirements.",1
"I'm impressed by the gym membership, totally worth every penny.",2
"The delivery does the job, for what it offers.",1
"The delivery is amazing, totally worth every penny.",2
"The restaurant is okay, average performance overall.",1
"The camera didn't work at all, and a complete waste of money.",0
"This game made everything so much easier, exactly what I needed.",2
"The phone is exactly what I hoped for, exactly what I needed.",2
"The headphones arrived quickly and works flawlessly, couldn't be happier with the result.",2
"This chair was late and broken, not worth the price at all.",0
"I had a horrible experience with the keyboard, I regret this purchase.",0
"This subscription works as expected, nothing special about it.",1
"The package is a decent choice, no surprises here.",1
"I'm impressed by the watch, couldn't be happier with the result.",2
"The quality of this online store is superb, exactly what I needed.",2
"The quality of the hotel is poor, worst purchase I've made.",0
"I regret ever buying this tool, support ignored me completely.",0
"This backpack is neither impressive nor bad, standard packaging and delivery.",1
"The shoes is awful, very unsatisfied overall.",0
"The customer support arrived damaged, total failure, do not buy.",0
"The headphones is similar to other options, meets basic requirements.",1
"I'm frustrated with the vacuum cleaner, nothing works properly.",0
"The monitor works as expected, standard packaging and delivery.",1
"The bicycle has excellent quality, it's outstanding overall.",2
"The delivery was late and broken, very upsetting experience.",0
"The delivery is awful, worst purchase I've made.",0
"This course is low quality, nothing works properly.",0
"This laptop works like a charm, exactly what I needed.",2
"The camera is low quality, very upsetting experience.",0
"The monitor is useless, not worth the price at all.",0
"The delivery is okay, for what it offers.",1
"The customer support is fantastic, couldn't be happier with the result.",2
"I received the service on time, it's fine for everyday use.",1
"The service is awful, total failure, do not buy.",0
"The watch was terrible, nothing works properly.",0
"The phone was a complete letdown, and a complete waste of money.",0
"This jacket is neither impressive nor bad, for what it offers.",1
"This tablet was late and broken, very upsetting experience.",0
"This laptop works as expected, no complaints or praise really.",1
"The router failed to meet even basic expectations, and a complete waste of money.",0
"This laptop is amazing, I would definitely recommend it.",2
"The printer arrived damaged, I regret this purchase.",0
"The speaker exceeded my expectations, it works perfectly every time.",2
"The headphones is useless, total failure, do not buy.",0
"The car is similar to other options, standard packaging and delivery.",1
"The vacuum cleaner works like a charm, totally worth every penny.",2
"I received this chair on time, for what it offers.",1
"This movie is similar to other options, no surprises here.",1
"I'm frustrated with the gym membership, support ignored me completely.",0
"I can't stop recommending this course platform, totally worth every penny.",2
"I have mixed feelings about the hotel, standard packaging and delivery.",1
"The keyboard was terrible, worst purchase I've made.",0
"This book is a decent choice, for what it offers.",1
"This tool was late and broken, support ignored me completely.",0
"The router was late and broken, not worth the price at all.",0
"This product performs better than I imagined, I would definitely recommend it.",2
"The package is exactly what I hoped for, totally worth every penny.",2
"This mattress is an average option, for what it offers.",1
"The car exceeded my expectations, I'm extremely pleased with it.",2
"The headphones was a complete letdown, and a complete waste of money.",0
"The printer has excellent quality, couldn't be happier with the result.",2
"This course platform is okay, for what it offers.",1
"The delivery is amazing, I would definitely recommend it.",2
"I had a horrible experience with the router, I regret this purchase.",0
"The keyboard is awful, support ignored me completely.",0
"This online store performs better than I imagined, exactly what I needed.",2
"I can't stop recommending this chair, best purchase I've made this year.",2
"The customer support is awful, support ignored me completely.",0
"The phone performs better than I imagined, I'm extremely pleased with it.",2
"The delivery is awful, total failure, do not buy.",0
"The quality of the car is superb, exactly what I needed.",2
"The delivery is a decent choice, nothing special about it.",1
"This umbrella has excellent quality, exactly what I needed.",2
"This charger performs adequately, it's fine for everyday use.",1
"The vacuum cleaner is amazing, absolutely fantastic experience.",2
"I have mixed feelings about the car, no complaints or praise really.",1
"This course is awful, very unsatisfied overall.",0
"I love this book, I would definitely recommend it.",2
"This subscription performs better than I imagined, totally worth every penny.",2
"This game is okay, meets basic requirements.",1
"This charger was terrible, very unsatisfied overall.",0
"The speaker works like a charm, best purchase I've made this year.",2
"I received this backpack on time, it's just average.",1
"The router does the job, nothing more nothing less.",1
"The price of the gym membership is reasonable, no complaints or praise really.",1
"This product matched the description, standard packaging and delivery.",1
"The headphones performs adequately, meets basic requirements.",1
"This movie was really great, best purchase I've made this year.",2
"I'm impressed by this book, it works perfectly every time.",2
"The shoes is low quality, total failure, do not buy.",0
"The router failed to meet even basic expectations, very unsatisfied overall.",0
"This game exceeded my expectations, it works perfectly every time.",2
"I received this jacket on time, it's fine for everyday use.",1
"I'm so happy with this chair, couldn't be happier with the result.",2
"The watch has excellent quality, I'm extremely pleased with it.",2
"The bicycle works fine for basic needs, nothing special about it.",1
"This movie performs adequately, it's just average.",1
"The shoes is awful, worst purchase I've made.",0
"The car is similar to other options, it's fine for everyday use.",1
"I'm impressed by the watch, totally worth every penny.",2
"The quality of this mattress is poor, and a complete waste of money.",0
"I'm so happy with this charger, best purchase I've made this year.",2
"I'm very disappointed with this subscription, I regret this purchase.",0
"The router has excellent quality, I'm extremely pleased with it.",2
"The headphones works as expected, no complaints or praise really.",1
"The router works as expected, meets basic requirements.",1
"I can't stop recommending this tablet, best purchase I've made this year.",2
"The delivery was terrible, support ignored me completely.",0
"This jacket exceeded my expectations, it works perfectly every time.",2
"The service made everything so much easier, and I'm very satisfied.",2
"This tablet does the job, standard packaging and delivery.",1
"This backpack performs better than I imagined, couldn't be happier with the result.",2
"The monitor performs adequately, it's just average.",1
"The vacuum cleaner is low quality, and a complete waste of money.",0
"I'm so happy with this movie, it works perfectly every time.",2
"This umbrella is a decent choice, nothing special about it.",1
"I had a horrible experience with the router, not worth the price at all.",0
"This book made everything so much easier, it works perfectly every time.",2
"I regret ever buying the keyboard, very unsatisfied overall.",0
"This course is amazing, absolutely fantastic experience.",2
"This backpack works as expected, standard packaging and delivery.",1
"The gym membership works like a charm, it works perfectly every time.",2
"This umbrella is neither impressive nor bad, for what it offers.",1
"The package is exactly what I hoped for, it works perfectly every time.",2
"The service is okay, nothing special about it.",1
"This course is awful, support ignored me completely.",0
"This course failed to meet even basic expectations, support ignored me completely.",0
"This game is awful, very upsetting experience.",0
"The headphones is fantastic, it's outstanding overall.",2
"The hotel stopped working after one day, support ignored me completely.",0
"This tablet is fine, nothing more nothing less.",1
"The phone is neither impressive nor bad, average performance overall.",1
"This blender was a complete letdown, completely unusable.",0
"This umbrella stopped working after one day, and a complete waste of money.",0
"This course platform exceeded my expectations, it's outstanding overall.",2
"The router works like a charm, I would definitely recommend it.",2
"I can't stop recommending this product, I'm extremely pleased with it.",2
"This mattress was a complete letdown, total failure, do not buy.",0
"I love this course, totally worth every penny.",2
"This chair was a complete letdown, completely unusable.",0
"I regret ever buying the customer support, and a complete waste of money.",0
"This umbrella performs better than I imagined, best purchase I've made this year.",2
"This tablet is useless, total failure, do not buy.",0
"The customer support made everything so much easier, it works perfectly every time.",2
"The hotel arrived quickly and works flawlessly, best purchase I've made this year.",2
"This subscription is amazing, best purchase I've made this year.",2
"This backpack is exactly what I hoped for, and I'm very satisfied.",2
"The router exceeded my expectations, and I'm very satisfied.",2
"This game is fantastic, totally worth every penny.",2
"The customer support is a decent choice, meets basic requirements.",1
"I have mixed feelings about the package, average performance overall.",1
"I'm impressed by the camera, I'm extremely pleased with it.",2
"The gym membership exceeded my expectations, absolutely fantastic experience.",2
"This tablet is a decent choice, no complaints or praise really.",1
"I can't stop recommending the shoes, it works perfectly every time.",2
"I love this chair, couldn't be happier with the result.",2
"I'm so happy with the monitor, it works perfectly every time.",2
"The customer support has excellent quality, exactly what I needed.",2
"The printer works as expected, meets basic requirements.",1
"The quality of the keyboard is superb, it works perfectly every time.",2
"The camera was a complete letdown, and a complete waste of money.",0
"The phone performs better than I imagined, absolutely fantastic experience.",2
"The package does the job, no complaints or praise really.",1
"This product performs better than I imagined, it's outstanding overall.",2
"The phone stopped working after one day, and a complete waste of money.",0
"The router is useless, very unsatisfied overall.",0
"This online store failed to meet even basic expectations, nothing works properly.",0
"The quality of this charger is poor, not worth the price at all.",0
"The customer support is amazing, and I'm very satisfied.",2
"The quality of this online store is poor, support ignored me completely.",0
"The camera is fine, nothing more nothing less.",1
"The monitor didn't work at all, worst purchase I've made.",0
"The delivery arrived damaged, total failure, do not buy.",0
"I received this course platform on time, standard packaging and delivery.",1
"The service does the job, no surprises here.",1
"This course is neither impressive nor bad, standard packaging and delivery.",1
"The printer is neither impressive nor bad, nothing more nothing less.",1
"I'm very disappointed with this umbrella, and a complete waste of money.",0
"This game exceeded my expectations, exactly what I needed.",2
"I can't stop recommending this game, it's outstanding overall.",2
"This chair is an average option, it's just average.",1
"This laptop arrived quickly and works flawlessly, totally worth every penny.",2
"This course does the job, it's just average.",1
"The quality of the shoes is poor, completely unusable.",0
"The package is similar to other options, it's just average.",1
"The camera was late and broken, very unsatisfied overall.",0
"The delivery arrived as ordered, it's fine for everyday use.",1
"The bicycle is neither impressive nor bad, no surprises here.",1
"The hotel does the job, it's just average.",1
"I received this chair on time, no surprises here.",1
"I'm frustrated with this app, and a complete waste of money.",0
"The bicycle is fine, it's fine for everyday use.",1
"This online store is similar to other options, nothing special about it.",1
"The bicycle is neither impressive nor bad, nothing special about it.",1
"This course platform didn't work at all, nothing works properly.",0
"The quality of the delivery is poor, not worth the price at all.",0
"The restaurant arrived quickly and works flawlessly, best purchase I've made this year.",2
"This tool is exactly what I hoped for, and I'm very satisfied.",2
"The bicycle is exactly what I hoped for, couldn't be happier with the result.",2
"This online store is low quality, very unsatisfied overall.",0
"I can't stop recommending this online store, I'm extremely pleased with it.",2
"I have mixed feelings about this movie, nothing special about it.",1
"The speaker performs adequately, nothing special about it.",1
"The quality of this software is poor, worst purchase I've made.",0
"The gym membership is fine, average performance overall.",1
"The price of this laptop is reasonable, nothing special about it.",1
"The gym membership has excellent quality, couldn't be happier with the result.",2
"This book stopped working after one day, worst purchase I've made.",0
"I can't stop recommending the printer, I'm extremely pleased with it.",2
"I have mixed feelings about this course platform, it's fine for everyday use.",1
"The quality of the monitor is poor, total failure, do not buy.",0
"The quality of the restaurant is superb, exactly what I needed.",2
"The car is low quality, I regret this purchase.",0
"I'm impressed by the router, I'm extremely pleased with it.",2
"The quality of this product is poor, very unsatisfied overall.",0
